item,ans_ind,ans_text,ans_prop,state
"11. the first vowel in ""Florida""",b,"[] as in ""ah"" (""flah-ri-da"")",23.01,AL
"11. the first vowel in ""Florida""",c,"[] as in ""saw"" (""flaw-ri-da"")",5.44,AL
"11. the first vowel in ""Florida""",d,"[] as in ""sore"" (""flore-i-da"")",62.76,AL
"11. the first vowel in ""Florida""",e,other,4.18,AL
12. flourish,a,"[] as in ""bird"" (""flurr-ish"")",66.25,AL
12. flourish,b,"[] as in ""sore"" (""flore-ish"")",24.58,AL
12. flourish,c,"[] as in ""sun"" (""fluh-rish"")",5.83,AL
12. flourish,d,other (including if you use one pronunciation for the verb and a different pronunciation for the noun),3.33,AL
"13. the last vowel in ""handkerchief""",a,"[i:] as in ""see""",12.92,AL
"13. the last vowel in ""handkerchief""",b,"[] as in ""sit""",83.33,AL
"13. the last vowel in ""handkerchief""",c,other,3.75,AL
14. lawyer,a,"with [j] as in ""boy"" (""loyer"")",22.82,AL
14. lawyer,b,"with [] as in ""saw"" (""law-yer"")",69.29,AL
14. lawyer,c,I use both interchangeably,7.05,AL
14. lawyer,d,other,0.83,AL
15. How do you pronounce Mary/merry/marry?,a,all 3 are the same,53.75,AL
15. How do you pronounce Mary/merry/marry?,b,all 3 are different,6.67,AL
15. How do you pronounce Mary/merry/marry?,c,Mary and merry are the same; marry is different,22.92,AL
15. How do you pronounce Mary/merry/marry?,d,merry and marry are the same; Mary is different,2.08,AL
15. How do you pronounce Mary/merry/marry?,e,Mary and marry are the same; merry is different,14.58,AL
16. mayonnaise,a,"with [] as in ""man"" (2 syllables--""man-aze"")",52.72,AL
16. mayonnaise,b,"with [ej] (3 syllables--""may-uh-naze"")",37.24,AL
16. mayonnaise,c,I use both interchangeably,8.79,AL
16. mayonnaise,d,other,1.26,AL
"17. the first vowel in ""miracle""",a,"[i:] as in ""near""",61.18,AL
"17. the first vowel in ""miracle""",b,"[] as in ""knit""",29.96,AL
"17. the first vowel in ""miracle""",c,"[] as in ""net""",3.38,AL
"17. the first vowel in ""miracle""",d,I say something in between [] and [],4.64,AL
"17. the first vowel in ""miracle""",e,other,0.84,AL
18. mischievous vs. mischievious,a,mischievous (3 syllables),34.6,AL
18. mischievous vs. mischievious,b,mischievious (4 syllables),38.4,AL
18. mischievous vs. mischievious,c,"I write ""mischievous"" but say ""mischievious""",10.13,AL
18. mischievous vs. mischievious,d,I use both,16.88,AL
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",a,"[e:] as in ""say""",66.24,AL
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",b,"[i:] as in ""see""",13.92,AL
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",c,"I use [e:] with the words in isolation, but [i:] in compounds (such as ""Sunday school"")",13.5,AL
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",d,"other (e.g. do you use one vowel in some day names, and another in the other names?)",6.33,AL
"20. the second vowel in ""pajamas""",a,"[] as in ""jam""",15.68,AL
"20. the second vowel in ""pajamas""",b,"[] as in ""father""",82.63,AL
"20. the second vowel in ""pajamas""",c,other,1.69,AL
21. pecan,a,"[pi:kn] with stress on the first syllable (""PEE-can"")",4.26,AL
21. pecan,b,"[pi:kn] with stress on the second syllable (""pee-CAN"")",3.83,AL
21. pecan,c,"[pi:kn] with stress on the first syllable (""PEE-Kahn"")",8.09,AL
21. pecan,d,"[pi:kn] with stress on the second syllable (""pee-KAHN"")",30.64,AL
21. pecan,e,"[pkn] (""pick Ann"")",0.85,AL
21. pecan,f,"[pkn] (""pick Ahn"")",43.83,AL
21. pecan,g,"I pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",1.28,AL
21. pecan,h,other,7.23,AL
22. poem,a,one syllable,21.61,AL
22. poem,b,two syllables,78.39,AL
23. really,a,"[i:] as in ""see"" (""reely"")",30.21,AL
23. really,b,"[] as in ""sit"" (""rilly"")",49.36,AL
23. really,c,"[i] (""ree-l-y"")",9.79,AL
23. really,d,other (including if you use two or more of these interchangeably),10.64,AL
24. realtor (a real estate agent),a,"2 syllables (""reel-ter"")",49.79,AL
24. realtor (a real estate agent),b,"3 syllables (real[]tor, in other words ""reel-uh-ter"")",32.07,AL
24. realtor (a real estate agent),c,3 syllables (ree-l-ter),15.19,AL
24. realtor (a real estate agent),e,other,2.95,AL
"25. roof, room, broom, root",a,"[u:] as in ""food""",90.64,AL
"25. roof, room, broom, root",b,"[] as in ""foot""",3.4,AL
"25. roof, room, broom, root",c,these four words do not all have the same vowel (please use the comments box to let us know which is which),5.96,AL
"26. route (as in, ""the route from one place to another"")",a,"rhymes with ""hoot""",23.83,AL
"26. route (as in, ""the route from one place to another"")",b,"rhymes with ""out""",33.19,AL
"26. route (as in, ""the route from one place to another"")",c,I can pronounce it either way interchangeably,24.68,AL
"26. route (as in, ""the route from one place to another"")",d,"I say it like ""hoot"" for the noun and like ""out"" for the verb.",11.91,AL
"26. route (as in, ""the route from one place to another"")",e,"I say it like ""out"" for the noun and like ""hoot"" for the verb.",5.96,AL
"26. route (as in, ""the route from one place to another"")",f,other,0.43,AL
"27. the first vowel in ""syrup""",a,"[i] ""sear-up""",19.41,AL
"27. the first vowel in ""syrup""",b,"[] ""sih-rup""",13.5,AL
"27. the first vowel in ""syrup""",c,"[] as in ""sir""",66.67,AL
"27. the first vowel in ""syrup""",d,other,0.42,AL
"28. Do you pronounce ""cot"" and ""caught"" the same?",a,different,73.93,AL
"28. Do you pronounce ""cot"" and ""caught"" the same?",b,same,26.07,AL
29. almond,a,"all-mond (first syllable sounds like ""all"")",72.22,AL
29. almond,b,ah-mond (no l),11.11,AL
29. almond,c,"aw-mond (if different from ""ah-mond"")",5.13,AL
29. almond,d,I say something in between l and nothing,9.4,AL
29. almond,e,other,2.14,AL
"30. the ""s"" in ""anniversary""",a,"[s] as in ""sock""",88.89,AL
"30. the ""s"" in ""anniversary""",b,"[] as in ""shock""",11.11,AL
31. asterisk,a,asteri[ks],7.69,AL
31. asterisk,b,asteri[sk],41.88,AL
31. asterisk,c,asteri[k] (with no s in the final cluster),48.72,AL
31. asterisk,d,other,1.71,AL
32. candidate,a,I pronounce the first d,45.3,AL
32. candidate,b,I don't pronounce the first d,25.64,AL
32. candidate,c,I vary freely between pronouncing the first d and not doing so,8.97,AL
32. candidate,d,I only pronounce the first d when I'm speaking slowly/carefully,19.23,AL
32. candidate,f,other,0.85,AL
"33. the ""s"" in ""chromosome""",a,[s],23.93,AL
"33. the ""s"" in ""chromosome""",b,[z],54.7,AL
"33. the ""s"" in ""chromosome""",c,both are acceptable to me,20.94,AL
"33. the ""s"" in ""chromosome""",d,other,0.43,AL
34. et cetera,a,pronounced e[ts]etera (4 syllables),57.76,AL
34. et cetera,b,pronounced e[ts]etra (3 syllables),12.5,AL
34. et cetera,c,pronounced eksetera (4 syllables),18.97,AL
34. et cetera,d,pronounced eksetra (3 syllables),8.19,AL
34. et cetera,e,other,2.59,AL
"35. the final consonant in ""garage""",a,"[] as in the middle consonant of ""measure""",41.38,AL
"35. the final consonant in ""garage""",b,"[] as in ""edge""",50.43,AL
"35. the final consonant in ""garage""",c,I use both interchangeably,6.9,AL
"35. the final consonant in ""garage""",d,other,1.29,AL
"36. the ""c"" in ""grocery""",a,"[s] as in ""sock""",50.21,AL
"36. the ""c"" in ""grocery""",b,"[] as in ""shock""",48.5,AL
"36. the ""c"" in ""grocery""",c,other,1.29,AL
"37. huge, humor, humongous, human...",a,I pronounce the h,97.85,AL
"37. huge, humor, humongous, human...",b,I don't pronounce the h,0.86,AL
"37. huge, humor, humongous, human...",c,I can pronounce the h or not,0.86,AL
"37. huge, humor, humongous, human...",d,other,0.43,AL
"38. the ""s"" in ""nursery""",a,"[s] as in ""sock""",77.68,AL
"38. the ""s"" in ""nursery""",b,"[] as in ""shock""",21.03,AL
"38. the ""s"" in ""nursery""",c,other,1.29,AL
"39. the ""s"" in the last name of Elvis Presley",a,[s],83.69,AL
"39. the ""s"" in the last name of Elvis Presley",b,[z],16.31,AL
40. quarter,a,with [kw],65.52,AL
40. quarter,b,"with [k] (""cor-ter"")",27.59,AL
40. quarter,c,I use both interchangeably,6.47,AL
40. quarter,d,other,0.43,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",a,spicket,22.84,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",b,spigot,33.19,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",c,I use both interchangeably,4.74,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",d,"I say ""spicket"" but spell it ""spigot""",13.79,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",e,I use both with different meanings (please explain how in the comments box),0.43,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",f,I don't use either version of this word,22.84,AL
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",g,other,2.16,AL
42. strength,a,"the ""g"" is pronounced as [g]",33.19,AL
42. strength,b,"the ""g"" is pronounced as [k]",44.4,AL
42. strength,c,"the ""g"" is silent",22.41,AL
"43. the final consonant in ""Texas""",a,[s],79.74,AL
"43. the final consonant in ""Texas""",b,[z],14.66,AL
"43. the final consonant in ""Texas""",c,either one,5.17,AL
"43. the final consonant in ""Texas""",d,other,0.43,AL
44. cream cheese,a,CREAM cheese (stress on the first syllable),41.38,AL
44. cream cheese,b,cream CHEESE (stress on the second syllable),29.74,AL
44. cream cheese,c,it sounds right either way,25.86,AL
44. cream cheese,d,other,3.02,AL
45. insurance,a,INsurance (stress on the first syllable),28.26,AL
45. insurance,b,inSURance (stress on the second syllable),52.61,AL
45. insurance,c,I can stress either the first or the second syllable,18.7,AL
45. insurance,d,other,0.43,AL
46. New Haven (the city in Connecticut where Yale University is located),a,NEW Haven,57.83,AL
46. New Haven (the city in Connecticut where Yale University is located),b,New HAVEN,28.26,AL
46. New Haven (the city in Connecticut where Yale University is located),c,I use both interchangeably,11.3,AL
46. New Haven (the city in Connecticut where Yale University is located),d,other,2.61,AL
47. Thanksgiving,a,THANKSgiving,56.96,AL
47. Thanksgiving,b,ThanksGIVing,26.52,AL
47. Thanksgiving,c,I use both interchangeably,15.22,AL
47. Thanksgiving,d,other,1.3,AL
48. umbrella,a,UMbrella,40.69,AL
48. umbrella,b,umBRELLa,59.31,AL
49. I ____ her lifeless body from the pool,a,dragged,53.71,AL
49. I ____ her lifeless body from the pool,b,drug,33.62,AL
49. I ____ her lifeless body from the pool,c,I use both interchangeably,11.79,AL
49. I ____ her lifeless body from the pool,d,other,0.87,AL
50. What word(s) do you use to address a group of two or more people?,a,you all,8.77,AL
50. What word(s) do you use to address a group of two or more people?,c,you lot,0.44,AL
50. What word(s) do you use to address a group of two or more people?,d,you guys,10.53,AL
50. What word(s) do you use to address a group of two or more people?,g,you,5.7,AL
50. What word(s) do you use to address a group of two or more people?,h,other,1.75,AL
50. What word(s) do you use to address a group of two or more people?,i,y'all,72.81,AL
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",a,yes,15.86,AL
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",b,no,83.26,AL
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",c,other,0.88,AL
"52. Would you say ""where are you at?"" to mean ""where are you?""",a,yes,39.13,AL
"52. Would you say ""where are you at?"" to mean ""where are you?""",b,no,38.7,AL
"52. Would you say ""where are you at?"" to mean ""where are you?""",c,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",22.17,AL
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",a,yes (please consider adding which combinations of modals you use in the comments box),45.85,AL
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",b,no,52.84,AL
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",c,other,1.31,AL
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",a,"this use of ""anymore"" is acceptable",3.93,AL
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",b,"this use of ""anymore"" is unacceptable",93.89,AL
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",c,not sure,2.18,AL
55. I do exclusively figurative paintings anymore,a,acceptable,3.95,AL
55. I do exclusively figurative paintings anymore,b,unacceptable,92.11,AL
55. I do exclusively figurative paintings anymore,c,not sure,3.95,AL
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,a,acceptable,20.52,AL
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,b,unacceptable,74.67,AL
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,c,not sure,4.8,AL
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),a,acceptable,28.82,AL
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),b,unacceptable,64.19,AL
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),c,not sure,6.99,AL
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",a,tag sale,0.44,AL
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",l,patio sale,0.44,AL
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",m,other,3.93,AL
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",b,yard sale,63.32,AL
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",c,garage sale,31.44,AL
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",d,rummage sale,0.44,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",a,mumblety-peg,5.22,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",j,numblety peg,0.43,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",m,stick-knife,2.17,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",n,stick-frog,0.43,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",p,chicken,4.35,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",r,splits,0.43,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",s,Russian roulette,2.17,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",b,mumbledy-peg,6.09,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",t,"I have never heard of this ""game"" and have no idea what it's called",53.04,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",u,other (state here if you have heard one or more of these terms but never knew what they meant),10,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",c,mumbly peg,12.17,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",d,mumbly pegs,0.87,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",e,mumblely peg (with 2 l's),1.74,AL
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",f,mumble peg,0.87,AL
60. What do you call the area of grass between the sidewalk and the road?,a,berm,2.19,AL
60. What do you call the area of grass between the sidewalk and the road?,d,terrace,0.44,AL
60. What do you call the area of grass between the sidewalk and the road?,e,curb strip,7.02,AL
60. What do you call the area of grass between the sidewalk and the road?,g,verge,2.19,AL
60. What do you call the area of grass between the sidewalk and the road?,h,I have no word for this,81.14,AL
60. What do you call the area of grass between the sidewalk and the road?,i,other,7.02,AL
61. What do you call the area of grass that occurs in the middle of some streets?,a,boulevard,3.11,AL
61. What do you call the area of grass that occurs in the middle of some streets?,b,midway,1.78,AL
61. What do you call the area of grass that occurs in the middle of some streets?,c,traffic island,4,AL
61. What do you call the area of grass that occurs in the middle of some streets?,d,island,31.11,AL
61. What do you call the area of grass that occurs in the middle of some streets?,e,neutral ground,0.44,AL
61. What do you call the area of grass that occurs in the middle of some streets?,f,I have no word for this,22.22,AL
61. What do you call the area of grass that occurs in the middle of some streets?,g,other,37.33,AL
62. What do you call the long narrow place in the middle of a divided highway?,a,median strip,2.63,AL
62. What do you call the long narrow place in the middle of a divided highway?,j,other,0.44,AL
62. What do you call the long narrow place in the middle of a divided highway?,b,median,93.42,AL
62. What do you call the long narrow place in the middle of a divided highway?,d,mall,0.44,AL
62. What do you call the long narrow place in the middle of a divided highway?,g,island,1.32,AL
62. What do you call the long narrow place in the middle of a divided highway?,i,I have no word for this,1.75,AL
63. What do you call the drink made with milk and ice cream?,a,milkshake/shake,98.7,AL
63. What do you call the drink made with milk and ice cream?,b,frappe,0.43,AL
63. What do you call the drink made with milk and ice cream?,d,velvet,0.43,AL
63. What do you call the drink made with milk and ice cream?,e,thick shake,0.43,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",a,sub,86.46,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",j,I have no word for this,0.44,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",k,other,1.75,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",b,grinder,0.44,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",c,hoagie,3.49,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",d,hero,0.44,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",e,poor boy,6.55,AL
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",g,Italian sandwich,0.44,AL
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,a,lightning bug,62.28,AL
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,b,firefly,2.63,AL
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,c,I use lightning bug and firefly interchangeably,33.77,AL
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,f,other,1.32,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,a,crawfish,54.59,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,b,crayfish,1.31,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,c,craw,0.87,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,e,crawdad,35.37,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,f,mudbug,0.44,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,g,I have no word for this critter,2.18,AL
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,h,other,5.24,AL
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,a,daddy long leg(s),69.2,AL
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,l,other,26.79,AL
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,e,granddaddy,4.02,AL
68. What nicknames do/did you use for your maternal grandmother?,a,grandmother,16.89,AL
68. What nicknames do/did you use for your maternal grandmother?,b,granny,15.07,AL
68. What nicknames do/did you use for your maternal grandmother?,c,grandma,23.74,AL
68. What nicknames do/did you use for your maternal grandmother?,d,nana,4.11,AL
68. What nicknames do/did you use for your maternal grandmother?,e,mimi,0.91,AL
68. What nicknames do/did you use for your maternal grandmother?,f,grammy/grammie/grammi,0.91,AL
68. What nicknames do/did you use for your maternal grandmother?,g,other,38.36,AL
69. What about your paternal grandmother (is there a distinction?),a,grandmother,17.13,AL
69. What about your paternal grandmother (is there a distinction?),b,granny,14.81,AL
69. What about your paternal grandmother (is there a distinction?),c,grandma,21.76,AL
69. What about your paternal grandmother (is there a distinction?),d,gramma,5.56,AL
69. What about your paternal grandmother (is there a distinction?),e,nana,2.31,AL
69. What about your paternal grandmother (is there a distinction?),f,other,38.43,AL
70. What do/did you call your maternal grandfather?,a,gramps,0.45,AL
70. What do/did you call your maternal grandfather?,b,grandpa,14.09,AL
70. What do/did you call your maternal grandfather?,c,grampa,4.55,AL
70. What do/did you call your maternal grandfather?,d,"grandad, granddad",10.45,AL
70. What do/did you call your maternal grandfather?,e,pap,1.82,AL
70. What do/did you call your maternal grandfather?,f,"I spell it ""grandpa"" but pronounce it as ""grampa""",8.64,AL
70. What do/did you call your maternal grandfather?,g,other (including if you use a different term to address him directly than you do when speaking about him to a third party),60,AL
71. paternal grandfather?,a,gramps,0.49,AL
71. paternal grandfather?,b,grandpa,20.2,AL
71. paternal grandfather?,c,grampa,8.37,AL
71. paternal grandfather?,d,pap,1.48,AL
71. paternal grandfather?,e,other,69.46,AL
72. What do you call the big clumps of dust that gather under furniture and in corners?,a,dust bunnies,73.78,AL
72. What do you call the big clumps of dust that gather under furniture and in corners?,b,dust kittens,0.89,AL
72. What do you call the big clumps of dust that gather under furniture and in corners?,c,dust mice,1.78,AL
72. What do you call the big clumps of dust that gather under furniture and in corners?,e,dust balls,18.67,AL
72. What do you call the big clumps of dust that gather under furniture and in corners?,f,other,4.89,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",a,sneakers,15.35,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",j,I have no general word for this,0.44,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",k,other,2.63,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",b,shoes,3.95,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",c,gymshoes,2.19,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",f,tennis shoes,73.68,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",g,running shoes,0.88,AL
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",i,trainers,0.88,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,a,pill bug,0.88,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,j,millipede,0.44,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,k,centipede,0.44,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,l,"I know what this creature is, but have no word for it",1.32,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,m,I have no idea what this creature is,2.63,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,n,other,1.75,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,b,doodle bug,3.07,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,c,potato bug,0.88,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,d,roly poly,87.72,AL
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,e,sow bug,0.44,AL
